Metric,Value
Total Population,"173,562,364"
Urban Population %,32.7
Working Age Population %,65.5
Labor Force,"73,619,393"
Unemployment Rate %,3.63
Agriculture Employment %,44.7
Industry Employment %,17.9
Services Employment %,37.4
GDP per Capita (US$),"2,593.42"
Estimated Agriculture Earnings (US$),"1,556.05"
Estimated Industry Earnings (US$),"3,112.10"
Estimated Services Earnings (US$),"3,371.44"
