year,indicator_code,indicator_name,value
2004,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),64.8913823515472
2004,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),34.8894510914275
2004,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),17.6220890679826
2004,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),29.2028328870851
2004,SL.TLF.TOTL.IN,"Labor Force, Total",53140734.0
2004,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.316
2004,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),36.0571318324706
2004,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),60.2870409402001
2004,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.65582722732927
2004,SP.POP.GROW,Population Growth (annual %),1.36154790691024
2004,SP.POP.TOTL,Total Population,142902856.0
2004,SP.RUR.TOTL,Rural Population,107163593.0
2004,SP.URB.TOTL,Urban Population,35739263.0
2005,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),461.19293360395
2005,NY.GDP.PCAP.CD,GDP per Capita (current US$),480.08585075452
2005,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.20131368672413
2005,SI.POV.GINI,GINI Index (World Bank estimate),33.2
2005,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),51.359688830833
2005,SL.EMP.SELF.ZS,Self-employed (% of total employment),64.722223972032
2005,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.65
2005,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),64.4914371632306
2005,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),35.2777721633575
2005,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),18.2007969329369
2005,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),30.4395142362302
2005,SL.TLF.TOTL.IN,"Labor Force, Total",54049068.0
2005,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.25
2005,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),35.7391159109622
2005,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),60.5359621928184
2005,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.72492189621939
