year,indicator_code,indicator_name,value
2019,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",42061125594.3548
2019,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",3.26057768352028
2019,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.9753231358984
2019,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),360627233626.55
2019,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2220.0
2019,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",6290.0
2019,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",63.2701670899894
2019,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",29.4744619775738
2019,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),10.9
2019,SP.RUR.TOTL.ZS,Rural population (% of total population),69.1771603656988
2020,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),325.386565272497
2020,AG.LND.AGRI.K2,Agricultural land (sq. km),94300.0
2020,AG.LND.AGRI.ZS,Agricultural land (% of land area),72.4437274333564
2020,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),111.84
2020,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),115.91
2020,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),136.86
2020,AG.YLD.CREL.KG,Cereal yield (kg per hectare),4885.9
2020,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),250383687973.973
2020,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),1099.4473259373
2020,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",44876362005.1668
2020,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",3.42094793156549
2020,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.9996868602485
