Year,Value,Indicator,Indicator_Code,Country
YR2002,8592000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2002,6972653296.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2002,-2234843547.53365,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2003,7.46485520934452,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2003,-2884974093.26425,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2003,19.1883894625947,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2003,11.0987893062241,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2003,9518042380.41675,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2003,9761830742.65976,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2003,1.92737016029291,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2003,60.317204445499,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2003,20.4075331403459,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2003,1.8714785700874,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2003,1.40618872513327,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2003,0.376450466512733,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2003,18.6891556068454,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2003,0.751362261421494,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2003,6.85622071289537,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2003,56.4978312296538,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2003,10434000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2003,8623932466.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2003,-3141653816.41339,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2004,8.46970712228047,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2004,-2972345846.78104,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2004,15.6096305442988,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2004,8.29717956189146,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2004,17584534494.4188,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2004,10229675556.3105,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2004,2.08477068964326,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2004,65.5213424328879,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2004,22.2493162603307,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2004,1.81262567762613,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2004,1.82294387656281,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2004,0.316528487210814,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2004,17.9704073806913,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2004,0.743145278633269,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2004,10.108348493391,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2004,55.0850330389449,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2004,12036000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2004,10469230208.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2004,-3854880482.14049,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2005,7.34670876932395,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2005,-3898472861.97333,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2005,13.8972198613441,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2005,10.2104592142642,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2005,24277698362.6253,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2005,13898043877.3656,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2005,2.94056839989021,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2005,65.6015221996257,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2005,22.656037995919,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2005,2.57609892058729,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2005,1.54408956736864,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2005,0.38099536711354,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2005,16.8733502993802,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2005,0.424395347933294,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2005,14.9389465955131,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2005,55.545032501698,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2005,13889000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2005,12575480212.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2005,-4156759716.05123,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2006,7.0104951220935,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2006,-3880557603.06654,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2006,16.6996245220718,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2006,12.7500359072175,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2006,28693920636.0907,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2006,15621647159.4109,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2006,3.1644501304716,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2006,60.3752050016738,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2006,23.3359688641801,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2006,3.09986636041791,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2006,1.32760818277718,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2006,0.653386661938276,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2006,15.3197824648383,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2006,0.404172149516755,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2006,14.4725731285863,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2006,55.8592153163315,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2006,16034000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2006,14791096089.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2006,-3896303860.1296,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2007,7.83069523636506,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2007,-4738256591.77323,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2007,22.4621296974454,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2007,10.4864954081135,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2007,33280940870.7871,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2007,18268522231.9984,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2007,3.3587091644902,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2007,54.3044951529368,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2007,23.4422797620986,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2007,2.76672693274765,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2007,2.1976875802674,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2007,0.544556396228803,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2007,16.8732489216548,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2007,0.599671517082158,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2007,13.7746977455441,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2007,53.5758288899206,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2007,18596000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2007,17113178478.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2007,-5462928581.36725,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2008,7.35179947219679,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2008,-6692430505.57389,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2008,18.3229853149513,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2008,7.41205503993909,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2008,32648192800.3489,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2008,22874478188.5382,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2008,3.00214265497531,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2008,63.5254982261883,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2008,24.1204604134884,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
