Income_Group,Income_Share_Percent,Annual_Earnings_USD,Monthly_Earnings_USD,Daily_Earnings_USD,Number_of_Workers
Lowest 10%,3.7,585.8837481804337,48.82364568170281,1.6051609539189964,3173723.1397156455
Lowest 20%,8.8,696.7266194578132,58.06055162148443,1.9088400533090772,6347446.279431291
Second 20%,12.8,1013.4205373931826,84.45171144943188,2.776494622995021,6347446.279431291
Third 20%,16.5,1306.3624114833997,108.86353429028331,3.57907509995452,6347446.279431291
Fourth 20%,21.8,1725.981852747764,143.83182106231365,4.728717404788394,6347446.279431291
Highest 20%,40.1,3174.8565273020804,264.57137727517335,8.69823706110159,6347446.279431291
Highest 10%,25.5,4037.8474536759622,336.4872878063302,11.062595763495787,3173723.1397156455
